setting,subset,metric,comparison,n_strata,a_n_windows,b_n_windows,weighted_mean_diff,weighted_median_diff,stratum_boot_ci_low,stratum_boot_ci_high,share_strata_b_less_than_a
lower_speed,speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,4,23,10,0.6414848048289546,0.22147464321011134,0.2246052706196486,2.4920265627447398,0.0
lower_speed,speed_curve_matched,desired_curv_rms_1pm,B-minus-A,4,23,10,0.641477350650222,0.2214126078429372,0.2245195022903238,2.4922993385810557,0.0
lower_speed,gps_speed_curve_matched,steer_rms_deg,B-minus-A,3,4,3,0.04332975068557088,-0.022797179193788087,-0.11432522175879112,0.17558361044428883,0.3333333333333333
lower_speed,gps_speed_curve_matched,actual_curv_rms_1pm,B-minus-A,3,4,3,0.1731502748177407,0.08417612917498653,-0.02645548794963415,0.3510985661032491,0.3333333333333333
lower_speed,gps_speed_curve_matched,lat_accel_rms_mps2,B-minus-A,3,4,3,0.018570573969341104,0.013376422605981743,0.006588641883023813,0.02895887669605983,0.0
lower_speed,gps_speed_curve_matched,cmd_curv_rms_1pm,B-minus-A,3,4,3,0.1815179365589965,0.04041926052448066,-0.1312767660842984,0.46371528862802824,0.3333333333333333
lower_speed,gps_speed_curve_matched,desired_curv_rms_1pm,B-minus-A,3,4,3,0.18152395462659285,0.04041528572919031,-0.13124645619973396,0.46374129242139794,0.3333333333333333
lower_speed,speed_curve_matched,steer_rms_deg,C-minus-A,9,39,26,-0.14201232313692466,-0.21550827196134326,-0.3165421699144184,0.05339987758802369,0.5555555555555556
lower_speed,speed_curve_matched,actual_curv_rms_1pm,C-minus-A,9,39,26,-0.5031954736707215,-0.7483089095987611,-1.0629291874072682,0.05354372501819123,0.7777777777777778
lower_speed,speed_curve_matched,lat_accel_rms_mps2,C-minus-A,9,39,26,-0.02596350391811489,-0.045141669984109206,-0.05195326530172192,0.004895245483534378,0.7777777777777778
lower_speed,speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,9,39,26,0.05881154533038425,-0.0920620799529629,-0.4038484180986424,0.6309206207819699,0.4444444444444444
lower_speed,speed_curve_matched,desired_curv_rms_1pm,C-minus-A,9,39,26,0.058803120411294665,-0.09214633339627874,-0.3963931305825951,0.6324225324543423,0.4444444444444444
lower_speed,gps_speed_curve_matched,steer_rms_deg,C-minus-A,5,6,5,-0.13176658465243904,-0.3450768997135419,-0.5173856151241845,0.35536587837098965,0.6
lower_speed,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-A,5,6,5,-0.30410388085223394,-0.8142383197320858,-1.3152162314339493,0.8409087966302522,0.8
lower_speed,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-A,5,6,5,-0.01763826137445971,-0.052162956160341556,-0.06773633257280573,0.047152803576976154,0.8
lower_speed,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-A,5,6,5,0.2881725375393132,-0.2506855363060928,-0.8971065953874101,1.8920169323520502,0.6
lower_speed,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-A,5,6,5,0.2882184116707735,-0.2506904282620084,-0.8952311342365947,1.8922864971332385,0.6
lower_speed,speed_curve_matched,steer_rms_deg,C-minus-B,5,12,13,-0.14588014936967955,-0.17091668537123636,-0.23022862363758387,-0.07930838287885689,0.8
lower_speed,speed_curve_matched,actual_curv_rms_1pm,C-minus-B,5,12,13,-0.28645430341034883,-0.317457057024175,-0.46768740743208576,-0.16276634649635352,1.0
lower_speed,speed_curve_matched,lat_accel_rms_mps2,C-minus-B,5,12,13,-0.019249858328964857,-0.02266316669690605,-0.035477865031492424,-0.009656251460782896,0.8
lower_speed,speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,5,12,13,-0.2761162795390956,-0.33024119965071785,-0.42722558905117297,-0.11092481856410741,0.8
lower_speed,speed_curve_matched,desired_curv_rms_1pm,C-minus-B,5,12,13,-0.2761433192999009,-0.33033969410032415,-0.43546686157501896,-0.11315296615690983,0.8
lower_speed,gps_speed_curve_matched,steer_rms_deg,C-minus-B,3,3,3,-0.10708023691004293,-0.11606501154612861,-0.12276368437572954,-0.08911068763787156,1.0
lower_speed,gps_speed_curve_matched,actual_curv_rms_1pm,C-minus-B,3,3,3,-0.2154076509627645,-0.27163090038740423,-0.27188998286779376,-0.10296115211348511,1.0
lower_speed,gps_speed_curve_matched,lat_accel_rms_mps2,C-minus-B,3,3,3,-0.013576215653057194,-0.017542659343047717,-0.018123859448474736,-0.005643328273076148,1.0
lower_speed,gps_speed_curve_matched,cmd_curv_rms_1pm,C-minus-B,3,3,3,-0.31526343851776084,-0.33024119965071785,-0.336493067710902,-0.2853079162518468,1.0
lower_speed,gps_speed_curve_matched,desired_curv_rms_1pm,C-minus-B,3,3,3,-0.31533718349770573,-0.33033969410032415,-0.3365036618334923,-0.2853321622924688,1.0
narrow_band,speed_curve_matched,steer_rms_deg,B-minus-A,3,14,8,0.20569819963570554,0.16964782419588165,0.16964782419588165,0.3838604731876849,0.0
